Initial Amplitude (rad),Period (s)
0.1745329252,1.525
0.1745329252,1.522
0.1745329252,1.528
0.3490658504,1.536
0.3490658504,1.536
0.3490658504,1.531
0.5235987756,1.553
0.5235987756,1.542
0.5235987756,1.550
0.5235987756,1.553
0.6981317008,1.575
0.6981317008,1.569
0.872664626,1.600
0.872664626,1.592
0.872664626,1.697
1.047197551,1.622
1.047197551,1.625
1.047197551,1.622
1.221730476,1.664
1.221730476,1.656
1.396263402,1.697
1.396263402,1.700
1.396263402,1.703
1.396263402,1.700
1.396263402,1.686
1.396263402,1.689
1.396263402,1.753
1.396263402,1.697
1.570796327,1.736
1.570796327,1.733
-1.570796327,1.744
-1.570796327,1.739
-1.570796327,1.739
-1.396263402,1.697
-1.396263402,1.689
-1.396263402,1.697
-1.221730476,1.656
-1.221730476,1.661
-1.221730476,1.658
-1.047197551,1.622
-1.047197551,1.619
-1.047197551,1.625
-0.872664626,1.600
-0.872664626,1.597
-0.872664626,1.594
-0.6981317008,1.572
-0.6981317008,1.575
-0.6981317008,1.569
-0.5235987756,1.550
-0.5235987756,1.556
-0.5235987756,1.553
-0.3490658504,1.539
-0.3490658504,1.539
-0.3490658504,1.544
-0.3490658504,1.536
-0.3490658504,1.542
-0.3490658504,1.539
-0.1745329252,1.531
-0.1745329252,1.531
-0.1745329252,1.525