t,theta (rad),,t,theta (rad),Î¸,frame
0.00E+00,0.251275576,,0.00E+00,0.251275576,1.44E+01,6.00E+03
3.86E+00,0.2170781182,,3.86E+00,0.2170781182,1.24E+01,6.47E+03
1.00E+01,0.1674411812,,1.00E+01,0.1674411812,9.59E+00,7.21E+03
1.69E+01,0.1209512648,,1.69E+01,0.1209512648,6.93E+00,8.03E+03
2.38E+01,0.08270895414,,2.38E+01,0.08270895414,4.74E+00,8.86E+03
3.06E+01,0.05460882157,,3.06E+01,0.05460882157,3.13E+00,9.68E+03
3.74E+01,0.03709487886,,3.74E+01,0.03709487886,2.13E+00,1.05E+04
4.35E+01,0.02532409913,,4.35E+01,0.02532409913,1.45E+00,1.12E+04
5.03E+01,0.01301492721,,5.03E+01,0.01301492721,7.46E-01,1.20E+04
5.70E+01,0.009616851445,,5.70E+01,0.009616851445,5.51E-01,1.28E+04
6.38E+01,0.006654809538,,6.38E+01,0.006654809538,3.81E-01,1.37E+04
6.38E+01,0.006654809538,,6.38E+01,0.006654809538,3.81E-01,1.37E+04