l (m),T (s)
0.365,1.213333333
0.365,1.204166667
0.365,1.219166667
0.365,1.208333333
0.365,1.208333333
0.365,1.2075
0.365,1.206666667
0.14,0.7708333333
0.14,0.7666666667
0.14,0.7641666667
0.14,0.7608333333
0.14,0.7583333333
0.14,0.755
0.231,0.9541666667
0.231,0.9525
0.231,0.9508333333
0.231,0.9483333333
0.231,0.9466666667
0.173,0.8383333333
0.173,0.8366666667
0.173,0.8341666667
0.198,0.8841666667
0.198,0.8833333333
0.198,0.88
0.331,1.149166667
0.331,1.1475
0.331,1.1475
0.396,1.255833333
0.396,1.254166667
0.396,1.253333333
0.421,1.3
0.421,1.299166667
0.421,1.2975
0.3,1.0925
0.3,1.090833333
0.3,1.089166667
0.265,1.0325
0.265,1.030833333
0.265,1.028333333